form_count,div_count,samp_count,ol_count,h3_count,link_count,figcaption_count,object_count,u_count,track_count,dd_count,code_count,h6_count,h4_count,li_count,em_count,progress_count,paragraph_count,select_count,header_count,button_count,caption_count,sub_count,dir_count,small_count,dialog_count,time_count,map_count,col_count,main_count,input_count,style_count,tr_count,dt_count,dl_count,filename,bold_count,tfoot_count,section_count,ins_count,source_count,td_count,output_count,h2_count,span_count,aside_count,textarea_count,blockquote_count,datalist_count,svg_count,mark_count,iframe_count,image_count,wbr_count,del_count,tbody_count,hr_count,meter_count,footer_count,colgroup_count,optgroup_count,article_count,thead_count,a_count,abbr_count,br_count,font_count,option_count,table_count,legend_count,th_count,area_count,noscript_count,script_count,canvas_count,keygen_count,bdi_count,video_count,h5_count,summary_count,pre_count,s_count,quotation_count,fieldset_count,audio_count,strong_count,bdo_count,address_count,nav_count,menu_count,label_count,kbd_count,h1_count,dfn_count,sup_count,cite_count,embed_count,details_count,i_count,var_count,figure_count,param_count,menuitem_count,ul_count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,313,0,1,12,15,1,0,0,0,0,0,0,12,143,1,0,28,0,2,1,0,0,0,0,0,1,0,0,0,95,0,0,0,0,1000009_raw_html.txt,0,0,8,0,0,0,0,1,4,0,0,0,0,0,0,0,40,0,0,0,0,0,1,0,0,25,0,264,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,29,0,0,0,0,0,0,0,1,0,0,21
1,67,0,0,2,13,0,0,0,0,0,0,0,0,19,1,0,4,0,1,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,1000033_raw_html.txt,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,1,0,40,0,0,0,0,1,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
2,124,0,0,1,24,0,0,0,0,0,0,0,0,32,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,1000039_raw_html.txt,0,0,0,2,0,0,0,0,46,0,0,0,0,0,0,2,69,0,0,0,0,0,0,0,0,0,0,121,0,0,0,31,0,0,0,0,17,41,0,0,0,0,0,0,10,0,0,0,0,41,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100027_raw_html.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,351,0,0,3,40,0,0,0,0,0,0,0,7,112,0,0,2,1,0,39,0,0,0,0,0,0,0,0,0,101,0,3,0,0,1000363_raw_html.txt,0,0,0,0,0,3,0,11,310,0,0,0,0,0,0,2,30,0,0,1,3,0,0,0,2,0,0,166,0,0,0,1,1,0,0,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,26
1,102,0,0,11,17,0,0,0,0,0,0,0,3,152,0,0,38,0,0,8,0,0,0,0,0,0,0,0,0,2,2,16,0,0,10003_raw_html.txt,0,0,0,0,0,48,0,6,163,0,0,0,0,0,0,0,27,0,0,2,0,0,1,0,0,0,1,164,0,0,0,0,2,0,3,0,3,36,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,23
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000549_raw_html.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,203,0,0,2,35,0,0,0,0,0,0,0,6,59,0,0,2,0,0,26,0,0,0,0,0,0,0,0,0,89,0,0,0,0,1000597_raw_html.txt,0,0,0,0,0,0,0,2,218,0,0,0,0,0,0,2,13,0,0,0,3,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,13
1,63,0,0,0,13,0,0,0,0,0,0,0,0,19,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1000603_raw_html.txt,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5
