filename,word_count,line_count,space_count,tab_count,brace_count,bracket_count,length,quality
1000047_raw_html.txt,1,0,0,0,0,0,0,0
1000131_raw_html.txt,5278,2302,20531,0,414,718,114037,0
1000185_raw_html.txt,3599,1231,14644,0,49,116,63701,0
1000239_raw_html.txt,10503,3446,25828,2676,457,828,168228,0
1000335_raw_html.txt,2825,1072,12158,0,650,987,90907,0
1000539_raw_html.txt,4315,1551,14172,240,23,84,64231,0
1000545_raw_html.txt,2499,762,6792,0,21,50,32884,0
1000557_raw_html.txt,371,189,911,12,14,38,4515,0
1000563_raw_html.txt,117,35,205,0,3,1,1405,0
1000611_raw_html.txt,4937,1543,16614,14,39,121,62842,0
1000731_raw_html.txt,6797,3468,37288,0,97,150,127535,0
1000791_raw_html.txt,3594,1980,21355,0,147,452,77745,0
1000821_raw_html.txt,2466,1112,10621,42,53,135,45619,0
1000839_raw_html.txt,5974,2111,20610,184,327,604,113921,0
1000893_raw_html.txt,5718,1661,14263,0,23,83,102631,0
1000959_raw_html.txt,5757,1810,15936,556,38,127,102733,0
1000989_raw_html.txt,3656,1221,12591,373,32,109,64113,0
100107_raw_html.txt,16745,2835,35482,49,23,125,149215,0
1001187_raw_html.txt,6792,2039,25765,0,573,799,142538,0
1001421_raw_html.txt,6370,2845,33156,27,17,278,95524,0
1001481_raw_html.txt,4128,1389,13548,7,36,82,56523,0
1001553_raw_html.txt,14203,303,51046,39,27,82,68086,0
1001799_raw_html.txt,6344,2689,23561,0,81,124,108351,0
1001829_raw_html.txt,9799,3675,65982,0,177,578,190317,0
1001961_raw_html.txt,368,93,594,0,60,15,18240,0
1002069_raw_html.txt,7436,2447,43658,0,19,64,132996,0
1002087_raw_html.txt,5874,2513,33817,144,294,744,122351,1
1002111_raw_html.txt,2288,783,6143,25,30,133,37525,0
1002135_raw_html.txt,7708,2472,36708,12,13,97,125677,0
100215_raw_html.txt,4883,1809,12590,1422,109,438,81302,0
1002201_raw_html.txt,5422,2243,29447,144,289,744,111679,0
1002219_raw_html.txt,9192,3155,34131,41,104,100,124282,0
1002321_raw_html.txt,4097,1768,14961,0,67,151,72360,0
100239_raw_html.txt,4414,1268,12428,0,138,207,63703,1
1002405_raw_html.txt,1992,816,2636,1339,100,166,25784,1
1002477_raw_html.txt,3444,1679,17495,170,52,259,60397,0
1002489_raw_html.txt,4859,1764,14680,124,424,671,92962,0
1002603_raw_html.txt,3735,1537,12008,294,23,103,54931,0
1002687_raw_html.txt,1661,647,11826,0,109,229,33250,0
1002699_raw_html.txt,3963,1152,10855,0,3,92,48958,0
1002705_raw_html.txt,887,319,2535,56,9,47,12211,0
1002747_raw_html.txt,2824,880,9628,0,240,547,58667,1
1002759_raw_html.txt,4177,1260,13327,222,78,161,69294,0
1002825_raw_html.txt,6042,1348,16116,0,462,526,121173,0
1002843_raw_html.txt,7459,1638,20417,0,192,228,129688,0
1002981_raw_html.txt,6744,2863,36838,0,152,463,129393,0
1003041_raw_html.txt,2823,1083,7766,1008,54,234,54598,0
1003083_raw_html.txt,2455,940,7222,6,3,24,36181,0
1003149_raw_html.txt,9832,185,34320,0,7,27,46415,0
1003221_raw_html.txt,5597,1531,15324,412,93,282,71571,0
1003365_raw_html.txt,7844,200,26290,64,0,14,35755,0
1003443_raw_html.txt,3631,1536,12003,0,3,5,50022,0
1003509_raw_html.txt,8071,3204,37090,1773,84,295,152598,0
1003701_raw_html.txt,2992,1130,13138,0,49,78,50039,0
1003749_raw_html.txt,112303,1163,418490,0,347,962,542258,0
1003791_raw_html.txt,3387,1336,13567,0,0,41,38681,0
1003815_raw_html.txt,176,79,413,30,6,9,2095,0
1003821_raw_html.txt,781,224,1297,0,7,31,9927,0
100383_raw_html.txt,7564,710,11985,144,56,71,99285,0
1003917_raw_html.txt,6234,1765,22487,227,386,1265,117939,0
1004049_raw_html.txt,4932,1376,15075,398,127,157,93607,0
1004055_raw_html.txt,4357,125,14557,0,0,0,20646,0
1004139_raw_html.txt,948,408,2356,0,6,28,12250,0
1004163_raw_html.txt,1205,409,3416,0,0,1,16889,0
1004205_raw_html.txt,9972,3568,48874,118,101,406,178681,0
1004229_raw_html.txt,15666,5133,54434,7,352,1119,228156,0
1004559_raw_html.txt,2185,689,4757,215,49,159,28454,0
1004571_raw_html.txt,4182,1638,14074,102,57,167,70590,0
1004589_raw_html.txt,6149,2526,31409,4,159,519,95905,0
1004601_raw_html.txt,4510,1913,19899,0,241,307,81008,0
1004661_raw_html.txt,5329,2148,23495,55,44,127,86549,0
1004691_raw_html.txt,5513,1028,12801,0,38,193,55622,0
1004703_raw_html.txt,2991,1026,9558,0,71,109,47013,1
1004727_raw_html.txt,826,318,2040,3,4,9,13415,0
100479_raw_html.txt,6794,302,47202,0,0,0,55859,0
1004829_raw_html.txt,5807,2497,26959,4,251,715,119053,0
1004841_raw_html.txt,1998,519,5227,28,27,21,32023,0
1004877_raw_html.txt,3174,1285,9858,332,49,191,42527,0
1004883_raw_html.txt,10608,3488,61712,0,292,521,192245,0
1005027_raw_html.txt,193269,1977,733274,0,334,1152,945551,0
100509_raw_html.txt,2611,1009,6845,0,6,8,24640,0
1005117_raw_html.txt,4979,1992,19549,276,58,246,93272,0
1005189_raw_html.txt,3531,1410,10917,47,90,180,66311,0
1005291_raw_html.txt,5382,2634,30880,4,176,138,100914,0
1005297_raw_html.txt,5583,1682,7132,556,278,112,94909,1
1005303_raw_html.txt,8915,3506,23128,6,702,568,121909,0
1005309_raw_html.txt,3003,268,4229,0,5,45,21878,0
1005399_raw_html.txt,7647,3102,50554,0,224,483,154542,0
1005405_raw_html.txt,1273,416,3211,0,10,52,17475,0
1005435_raw_html.txt,219,79,344,0,6,3,3704,0
1005453_raw_html.txt,23419,5786,57892,6117,646,1011,381560,0
100551_raw_html.txt,3428,1052,10393,0,31,120,51998,0
1005573_raw_html.txt,1767,1125,10765,0,0,2,25054,0
1005669_raw_html.txt,4976,1990,25360,0,186,186,107824,0
1005681_raw_html.txt,6315,2981,14859,2129,342,638,90534,0
1005717_raw_html.txt,9686,2798,28409,1816,138,300,181468,0
1005729_raw_html.txt,7106,1826,24091,633,226,372,133184,0
1005795_raw_html.txt,8292,2699,42763,44,178,611,138954,0
1005801_raw_html.txt,6985,2636,27512,0,95,123,152081,0
1005825_raw_html.txt,861,412,2122,77,9,24,11019,0
1005849_raw_html.txt,3886,941,10835,0,148,205,74442,1
1005963_raw_html.txt,31094,766,111729,592,27,174,148425,0
10059_raw_html.txt,2471,510,6573,48,79,64,35282,0
1006005_raw_html.txt,5848,1664,17289,267,60,152,88690,0
1006035_raw_html.txt,69,28,83,43,2,3,920,0
1006089_raw_html.txt,5808,2247,21998,0,547,882,101734,0
1006323_raw_html.txt,270,29,293,0,211,497,16532,0
1006359_raw_html.txt,5745,1898,20576,7,176,193,118030,0
1006419_raw_html.txt,17067,4591,62106,0,20,89,233338,0
1006437_raw_html.txt,6130,854,9261,28,30,135,56835,0
1006473_raw_html.txt,11376,3533,42940,560,215,600,164895,0
1006503_raw_html.txt,5629,1798,19736,31,46,226,94117,0
10065_raw_html.txt,5266,2121,23999,573,111,190,95580,0
1006617_raw_html.txt,25826,5861,57496,5525,1359,1017,567969,0
1006713_raw_html.txt,4306,1092,12634,169,4,80,42452,0
100683_raw_html.txt,2384,807,10426,14,95,167,48676,0
1006857_raw_html.txt,6307,2022,25180,92,39,95,93938,0
100689_raw_html.txt,34104,754,123268,1517,64,190,161861,0
1006977_raw_html.txt,1880,531,5020,52,54,89,27474,0
1006989_raw_html.txt,2326,657,13907,12,112,65,45091,0
1007019_raw_html.txt,14874,2386,41222,35,218,1159,240263,0
1007037_raw_html.txt,3392,1864,14855,140,64,172,52793,0
1007049_raw_html.txt,20,6,19,0,0,0,309,0
1007067_raw_html.txt,8205,3764,46063,0,57,221,149459,1
1007109_raw_html.txt,4457,1838,22721,2,46,237,74000,0
1007181_raw_html.txt,1031,492,3928,0,5,11,14625,0
1007199_raw_html.txt,3346,1005,7960,189,120,221,49577,0
1007277_raw_html.txt,6297,1967,21422,0,222,287,97136,0
1007325_raw_html.txt,5898,2795,40046,0,54,166,130490,0
1007481_raw_html.txt,181,64,214,0,20,48,8709,0
1007493_raw_html.txt,3778,118,14833,17,11,4,20026,0
1007505_raw_html.txt,8690,2452,26892,12,189,244,122995,0
1007535_raw_html.txt,2862,1039,9318,512,37,50,46227,0
1007547_raw_html.txt,2071,694,6567,97,18,69,29876,1
1007601_raw_html.txt,1819,902,6502,0,8,66,21017,0
1007625_raw_html.txt,2709,764,7154,12,24,124,31635,0
1007637_raw_html.txt,2979,1256,11598,66,24,61,43674,0
1007643_raw_html.txt,4351,1406,13673,395,125,198,76323,0
1007685_raw_html.txt,8064,2820,28659,35,15,31,97136,0
100785_raw_html.txt,6513,1645,19234,56,56,205,77646,1
1007877_raw_html.txt,8579,1756,19561,93,11,56,79446,0
1007913_raw_html.txt,1313,483,4282,0,84,175,21882,0
1007919_raw_html.txt,1550,718,8813,0,3,59,26288,0
1007985_raw_html.txt,3118,820,8667,42,110,250,46972,0
1008015_raw_html.txt,2577,1147,11755,0,0,13,39254,0
1008021_raw_html.txt,1758,508,4654,15,12,53,31057,0
1008045_raw_html.txt,17749,4734,73752,218,110,228,257385,0
1008081_raw_html.txt,1107,490,4252,70,29,75,18093,0
1008219_raw_html.txt,2303,742,6565,12,33,91,30941,1
1008285_raw_html.txt,7679,1876,20660,0,406,1040,137018,0
1008321_raw_html.txt,1264,381,3272,0,17,45,21638,0
1008333_raw_html.txt,1439,388,3531,0,607,1225,57324,0
100833_raw_html.txt,4275,1555,13511,16,78,108,66880,0
1008441_raw_html.txt,9960,623,12801,0,1641,432,469906,0
100845_raw_html.txt,421,200,1110,5,0,4,5081,0
1008471_raw_html.txt,3824,565,8379,0,112,39,66553,0
1008585_raw_html.txt,3619,1254,10866,57,4,65,44751,0
1008765_raw_html.txt,14200,3287,46738,281,138,283,197759,0
1008843_raw_html.txt,1572,492,3833,178,31,68,22517,0
1008861_raw_html.txt,5623,2371,24557,0,2,18,81819,0
1008981_raw_html.txt,10336,802,14036,0,9,21,73405,0
1009017_raw_html.txt,28941,7117,95041,197,223,372,386569,0
1009041_raw_html.txt,2124,837,7768,74,26,108,32884,0
1009089_raw_html.txt,790,255,1558,319,51,69,12182,0
100929_raw_html.txt,2788,949,7606,9,47,173,42696,0
1009323_raw_html.txt,2626,917,8689,0,234,626,55157,0
1009347_raw_html.txt,2743,81,9132,15,7,19,13027,0
1009389_raw_html.txt,6917,2754,37560,0,71,137,135582,1
1009437_raw_html.txt,6476,1046,15736,0,261,36,105991,0
1009665_raw_html.txt,612,298,2001,0,2,13,8093,0
1009701_raw_html.txt,4492,1276,10040,0,1,23,42540,0
1009767_raw_html.txt,6056,2423,20971,355,160,321,101010,0
1009821_raw_html.txt,6343,1694,17393,0,210,169,115087,0
1009869_raw_html.txt,3387,1197,9974,36,61,159,48610,0
1009911_raw_html.txt,5011,1758,22992,18,77,158,84926,1
1009941_raw_html.txt,605,142,825,0,109,16,22144,0
1009953_raw_html.txt,4627,1867,16130,797,68,106,79807,0
1009995_raw_html.txt,47608,1267,202643,312,75,339,258091,0
1010055_raw_html.txt,31513,9294,224630,0,209,472,560334,0
1010085_raw_html.txt,186469,8115,699821,276,887,1829,931162,0
1010127_raw_html.txt,582,207,1147,77,24,44,7326,0
1010145_raw_html.txt,4178,1451,18704,71,67,207,75276,0
1010157_raw_html.txt,5278,2266,23064,279,132,314,97182,0
1010193_raw_html.txt,3448,1304,12819,43,44,81,59705,0
1010277_raw_html.txt,2867,1267,14107,0,22,64,56530,0
1010319_raw_html.txt,4976,1381,15286,398,130,157,94651,0
1010469_raw_html.txt,4674,2074,20867,0,73,136,90330,0
1010505_raw_html.txt,6051,2255,12662,0,349,357,161162,0
1010631_raw_html.txt,6949,2321,20472,250,38,137,99742,0
1010649_raw_html.txt,6864,3550,38300,0,102,150,130387,0
1010655_raw_html.txt,4089,1706,20030,28,2,11,73860,0
1010691_raw_html.txt,2396,1008,10976,17,1,82,37172,0
1010811_raw_html.txt,5000,2030,22284,0,60,157,85313,0
1010835_raw_html.txt,426,206,1673,0,0,2,4272,0
101091_raw_html.txt,20067,414,68177,0,0,1,92414,0
1010973_raw_html.txt,17599,4619,56903,423,1093,1095,290391,0
1010991_raw_html.txt,68342,1791,278319,27,46,162,357108,0
1011051_raw_html.txt,2747,786,6268,42,13,64,37060,0
1011123_raw_html.txt,2840,1214,11117,0,153,147,48175,0
1011177_raw_html.txt,4806,1463,14089,109,193,188,84732,0
1011303_raw_html.txt,3435,1193,10792,0,23,99,46327,0
1011411_raw_html.txt,1825,551,4709,0,33,51,25058,0
1011453_raw_html.txt,4582,1792,15506,72,101,279,80499,0
