filename,word_count,line_count,space_count,tab_count,brace_count,bracket_count,length
.DS_Store,14050,2055,2201,2079,270,4509,4857860
1000043_raw_html.txt,45,12,51,0,0,4,722
1000097_raw_html.txt,9282,2498,23877,96,1104,711,186241
1000253_raw_html.txt,2174,992,12265,103,29,108,38274
100025_raw_html.txt,8270,3005,17844,470,494,488,104613
1000313_raw_html.txt,9734,3694,22791,5548,698,2044,179184
1000319_raw_html.txt,394,90,615,0,49,15,20446
1000325_raw_html.txt,6272,917,14489,0,233,67,102558
1000493_raw_html.txt,8827,4342,36468,20,105,355,123162
1000553_raw_html.txt,3509,650,9113,337,37,55,50330
1000619_raw_html.txt,15666,6391,118776,12,629,1190,418772
1000649_raw_html.txt,3803,1481,11021,3677,120,345,60012
1000673_raw_html.txt,4190,1606,15693,0,34,124,64552
1000769_raw_html.txt,4439,1861,19373,0,240,306,78336
1000955_raw_html.txt,5452,803,9749,146,32,19,42262
1000985_raw_html.txt,5006,1335,14638,398,337,652,105813
1001021_raw_html.txt,5293,1343,15628,332,147,540,75993
1001045_raw_html.txt,3511,1016,11121,20,21,72,45917
1001153_raw_html.txt,15759,6813,55239,5633,371,864,235023
1001285_raw_html.txt,6035,1149,9443,5,106,422,52980
1001291_raw_html.txt,3479,196,12064,77,23,16,16630
1001351_raw_html.txt,3216,1392,17034,9,27,52,59865
1001393_raw_html.txt,2793,1086,8942,906,68,137,46151
1001471_raw_html.txt,2345,780,8323,0,96,217,34016
1001579_raw_html.txt,1808,704,5141,51,12,61,25181
1001687_raw_html.txt,4096,1546,19268,182,18,156,71703
1001723_raw_html.txt,3506,1548,20966,5,10,11,62234
1001831_raw_html.txt,2734,1036,13318,27,4,34,38696
1001867_raw_html.txt,13501,5263,81331,10,355,1064,255435
1001963_raw_html.txt,5467,1468,14782,849,72,199,80881
1002005_raw_html.txt,22,8,26,0,3,20,815
1002101_raw_html.txt,4895,1373,14957,0,280,228,100666
100211_raw_html.txt,5288,2008,22037,0,40,25,86059
1002143_raw_html.txt,5229,1686,15323,848,106,177,83676
1002197_raw_html.txt,4780,2123,38781,0,21,72,102532
1002413_raw_html.txt,6944,2376,28190,60,116,401,121220
100241_raw_html.txt,3725,1530,18470,4,3,15,53765
1002461_raw_html.txt,1449,290,2967,0,4,15,11319
1002473_raw_html.txt,5353,2477,33779,179,46,89,91319
1002533_raw_html.txt,5079,1878,21217,310,112,254,86398
1002563_raw_html.txt,6240,2600,23483,238,65,218,105586
1002587_raw_html.txt,10339,4476,40839,1314,152,600,153818
1002599_raw_html.txt,6772,1839,22003,52,10,41,70296
1002695_raw_html.txt,6510,1842,21983,17,7,90,94160
1002701_raw_html.txt,1912,668,4923,500,81,310,30319
1002713_raw_html.txt,4764,1713,14931,583,56,187,78691
100271_raw_html.txt,3366,1077,9717,0,74,203,48964
1002743_raw_html.txt,7621,2781,25858,0,106,145,101263
1002869_raw_html.txt,3903,1171,12119,4,71,142,61098
1002977_raw_html.txt,8178,2931,30969,0,116,189,136332
1002995_raw_html.txt,20004,2162,22560,2,1172,233,185841
1003097_raw_html.txt,9861,3568,40831,0,174,393,344478
1003229_raw_html.txt,6417,1628,10451,4136,318,981,153283
1003241_raw_html.txt,1815,435,4343,50,10,19,23755
100325_raw_html.txt,4556,1657,20484,7,3,32,60572
1003349_raw_html.txt,27706,159,91859,118,0,208,123439
100337_raw_html.txt,5722,147,21159,0,0,16,28032
1003385_raw_html.txt,3394,1603,17847,566,56,154,56485
1003445_raw_html.txt,14923,6385,84598,0,217,542,261262
1003457_raw_html.txt,11495,2506,38270,18,225,516,187177
1003541_raw_html.txt,74,29,116,0,2,4,1049
1003547_raw_html.txt,4492,1543,12389,194,87,420,65893
1003565_raw_html.txt,2399,754,5492,191,56,157,38488
1003673_raw_html.txt,2878,972,8698,1007,44,77,46291
1003697_raw_html.txt,15460,5504,75934,1983,115,126,269042
1003745_raw_html.txt,1210,586,3930,0,6,33,15902
1003829_raw_html.txt,15207,2953,47746,0,179,244,197239
1003877_raw_html.txt,4846,1759,17133,258,36,162,72823
1003967_raw_html.txt,2192,995,8715,22,23,261,38996
1004021_raw_html.txt,2485,1346,16808,3,77,181,41515
1004057_raw_html.txt,22874,6775,136523,0,254,104,465124
100409_raw_html.txt,12224,3897,41949,3722,387,1150,199431
1004207_raw_html.txt,15730,7171,110237,108,235,508,326136
1004213_raw_html.txt,6014,2179,21447,0,23,112,78730
100421_raw_html.txt,6396,1980,29102,0,59,209,98792
1004267_raw_html.txt,11153,2813,46554,0,205,267,156854
1004327_raw_html.txt,13197,5015,78168,1,62,320,354394
1004387_raw_html.txt,5044,1461,17832,0,90,60,83220
1004429_raw_html.txt,4816,1213,12627,144,71,69,62802
1004441_raw_html.txt,9228,2996,43006,22,112,315,152133
1004513_raw_html.txt,2686,627,4219,191,24,43,28888
1004591_raw_html.txt,5554,1286,13336,851,281,554,80205
1004615_raw_html.txt,5564,1792,18253,23,43,88,94240
1004627_raw_html.txt,2002,920,8542,57,28,142,34053
100469_raw_html.txt,4623,1724,13709,1132,101,521,81650
100475_raw_html.txt,2987,908,9786,279,50,145,43874
1004819_raw_html.txt,7531,2242,25593,0,1099,457,197133
1004825_raw_html.txt,9757,1609,16915,1346,36,109,106617
100493_raw_html.txt,2696,1113,8147,395,109,191,48600
1005029_raw_html.txt,2601,706,6244,38,50,105,40471
1005107_raw_html.txt,64,26,86,1,4,2,1065
