filename,word_count,line_count,space_count,tab_count,brace_count,bracket_count,length,quality
1000188_raw_html.txt,3100,1085,13139,92,30,64,54744,1
1000326_raw_html.txt,5137,1345,13408,629,109,271,72969,0
1000542_raw_html.txt,6607,2376,26318,395,57,144,91394,0
1000638_raw_html.txt,1310,493,5353,45,4,32,19538,0
1000662_raw_html.txt,5590,1691,22853,0,252,427,89024,0
1000740_raw_html.txt,3798,1097,11521,33,14,42,50022,1
1000800_raw_html.txt,4327,1906,19988,49,10,27,63806,0
1000854_raw_html.txt,4895,1965,16452,387,137,370,86497,0
1000860_raw_html.txt,3968,1993,23172,0,114,75,66992,0
1001034_raw_html.txt,6866,1878,20621,138,28,118,100253,0
1001046_raw_html.txt,13562,2803,42663,641,45,456,234686,0
1001058_raw_html.txt,12923,5000,53820,0,91,113,222311,0
1001118_raw_html.txt,2956,907,6976,241,53,168,42739,0
1001124_raw_html.txt,8101,2169,32191,0,273,312,156497,0
1001136_raw_html.txt,3726,1745,16981,12,13,46,70419,0
1001232_raw_html.txt,3542,753,8860,20,24,34,46743,0
1001292_raw_html.txt,2559,782,11907,8,5,7,39966,1
1001322_raw_html.txt,6136,1890,20061,266,47,198,95906,0
100134_raw_html.txt,3928,1368,16124,156,23,83,71393,0
1001358_raw_html.txt,2989,1322,10964,58,7,28,49285,0
1001370_raw_html.txt,4302,1747,16782,8,98,284,81453,0
100140_raw_html.txt,3141,1031,9521,209,58,118,49766,0
1001544_raw_html.txt,2080,925,7760,11,5,4,37602,0
1001664_raw_html.txt,3194,504,5849,110,242,199,64183,0
1001670_raw_html.txt,4641,210,15375,6,4,8,21157,0
100170_raw_html.txt,3271,1153,12650,27,50,79,47195,0
1001730_raw_html.txt,8270,2539,33409,211,278,658,144941,0
100182_raw_html.txt,2951,938,9403,18,29,177,46055,0
1002222_raw_html.txt,26085,658,102973,11,102,389,133614,0
1002306_raw_html.txt,5807,1961,16806,238,100,353,86225,0
1002312_raw_html.txt,5271,2285,29332,6,59,181,100101,0
1002336_raw_html.txt,3078,935,7535,82,53,54,29276,0
1002360_raw_html.txt,700,225,1069,39,82,34,15143,0
1002372_raw_html.txt,5068,1406,15938,398,337,647,106663,0
1002552_raw_html.txt,3499,1042,8592,0,376,920,147753,0
1002582_raw_html.txt,1327,507,2711,21,41,110,16401,0
1002600_raw_html.txt,3354,860,6938,0,25,72,32277,0
1002666_raw_html.txt,4561,1892,18924,0,22,80,64789,0
1002762_raw_html.txt,24338,6099,81842,197,218,340,336061,0
1002774_raw_html.txt,5755,1524,15901,0,105,223,84637,0
100278_raw_html.txt,14642,6314,83405,0,223,546,256569,0
1002810_raw_html.txt,4390,1862,19315,0,241,306,78756,0
100290_raw_html.txt,22956,6764,136410,0,248,104,465308,0
1002978_raw_html.txt,74162,1708,391495,61,55,305,475605,0
1002990_raw_html.txt,6231,859,13856,0,208,62,103088,0
1003068_raw_html.txt,6189,2437,26206,62,238,546,109005,0
1003086_raw_html.txt,5991,1681,14244,858,199,291,80698,0
100308_raw_html.txt,1936,845,9407,12,16,55,30537,1
1003158_raw_html.txt,5814,2318,20718,4,188,329,104649,0
1003182_raw_html.txt,4026,1273,12113,33,125,424,62462,0
1003230_raw_html.txt,2985,1595,35200,53,61,139,75643,0
1003278_raw_html.txt,7847,3114,31217,160,54,98,139814,0
100332_raw_html.txt,4159,1396,11919,77,157,343,68746,0
1003446_raw_html.txt,8128,2526,24087,1,649,1206,158261,0
1003560_raw_html.txt,3089,1108,9607,290,211,144,53590,0
1003590_raw_html.txt,2557,965,8776,99,26,141,43147,0
1003620_raw_html.txt,124,31,137,0,0,17,1388,0
1003632_raw_html.txt,3993,1345,13484,0,51,246,49365,1
1003722_raw_html.txt,2826,865,6473,0,362,966,136129,0
1003764_raw_html.txt,6397,1652,20661,398,154,175,117231,0
100380_raw_html.txt,1839,593,5280,144,27,73,31434,0
1003860_raw_html.txt,2252,548,8239,462,67,71,42839,0
