form_count,div_count,samp_count,ol_count,h3_count,link_count,figcaption_count,object_count,u_count,track_count,dd_count,code_count,h6_count,h4_count,li_count,em_count,progress_count,paragraph_count,select_count,header_count,button_count,caption_count,sub_count,dir_count,small_count,dialog_count,time_count,map_count,col_count,main_count,input_count,style_count,tr_count,dt_count,dl_count,filename,bold_count,tfoot_count,section_count,ins_count,source_count,td_count,output_count,h2_count,span_count,aside_count,textarea_count,blockquote_count,datalist_count,svg_count,mark_count,iframe_count,image_count,wbr_count,del_count,tbody_count,hr_count,meter_count,footer_count,colgroup_count,optgroup_count,article_count,thead_count,a_count,abbr_count,br_count,font_count,option_count,table_count,legend_count,th_count,area_count,noscript_count,script_count,canvas_count,keygen_count,bdi_count,video_count,h5_count,summary_count,pre_count,s_count,quotation_count,fieldset_count,audio_count,strong_count,bdo_count,address_count,nav_count,menu_count,label_count,kbd_count,h1_count,dfn_count,sup_count,cite_count,embed_count,details_count,i_count,var_count,figure_count,param_count,menuitem_count,ul_count,quality
6,215,0,1,12,7,0,0,0,0,0,0,0,0,71,1,0,14,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1000084_raw_html.txt,1,0,0,0,0,0,0,4,69,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,2,0,0,193,0,0,0,88,0,0,0,0,1,48,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,19,0
1,162,0,0,0,6,5,0,0,0,0,0,0,0,19,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1000108_raw_html.txt,2,0,6,0,0,0,0,0,22,0,0,0,0,0,0,0,76,0,0,0,0,0,1,0,0,1,0,151,0,0,0,0,0,0,0,0,2,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,17,0,5,0,0,4,0
1,202,0,0,0,5,0,0,0,0,0,0,0,0,24,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1000228_raw_html.txt,0,0,4,0,0,0,0,5,27,0,0,0,0,0,0,1,32,0,0,0,0,0,2,0,0,2,0,169,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,5,0
2,935,0,0,125,15,0,0,0,0,0,0,0,5,171,0,0,0,0,121,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1000312_raw_html.txt,0,0,7,0,0,0,0,12,233,0,0,0,0,0,0,0,34,0,0,0,0,0,121,0,0,120,0,674,0,0,0,0,0,0,0,0,1,40,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6,0,1,0,1,0,0,0,0,0,0,0,120,0,0,26,0
2,56,0,0,10,16,0,0,0,0,0,0,0,4,78,1,0,17,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,1000330_raw_html.txt,0,0,0,1,0,0,0,1,20,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,17,0
6,215,0,0,2,35,0,0,0,0,0,0,0,6,59,0,0,2,0,0,28,0,0,0,0,0,0,0,0,0,89,0,0,0,0,1000336_raw_html.txt,0,0,0,0,0,0,0,3,239,0,0,0,0,0,0,2,14,0,0,0,3,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,15,0
3,139,0,0,6,12,0,0,0,0,0,0,0,13,112,0,0,35,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1000372_raw_html.txt,0,0,5,0,0,0,0,20,30,1,0,1,0,0,0,4,62,0,0,0,0,0,1,0,0,21,0,182,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,3,0,1,0,0,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,41,0
0,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1000378_raw_html.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,71,0,0,7,9,0,0,0,0,0,0,0,0,12,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1000390_raw_html.txt,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
1,190,0,0,1,23,0,0,0,0,0,0,17,2,199,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1000414_raw_html.txt,0,0,0,0,0,0,0,7,44,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,12,0,0,0,0,13,1
1,85,0,0,0,9,0,0,0,0,6,0,0,4,68,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,6,1000498_raw_html.txt,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,83,0,0,0,52,0,0,0,0,5,48,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1000606_raw_html.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,21,0,0,0,14,0,0,0,0,0,0,0,0,53,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1000684_raw_html.txt,6,0,0,0,0,0,0,4,6,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0
5,497,0,0,2,21,0,0,0,0,0,0,0,0,84,0,0,8,0,5,9,0,0,0,0,0,0,0,0,0,41,2,0,0,0,1000690_raw_html.txt,7,0,4,0,0,0,0,15,99,4,6,0,0,5,0,2,170,0,0,0,0,0,1,0,0,1,0,186,0,0,0,0,0,0,0,0,4,34,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,15,0,1,0,0,1,0,0,6,0,0,0,0,16,0
2,52,0,0,6,19,0,0,0,0,0,0,0,0,22,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,1000816_raw_html.txt,1,0,0,0,0,2,0,1,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0
2,62,0,0,16,8,0,0,0,0,0,0,0,0,100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,2,52,0,0,1000840_raw_html.txt,19,0,0,0,0,116,0,0,28,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,145,0,0,18,1,28,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,18,0
2,122,0,1,5,17,0,0,0,0,0,0,0,0,97,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1000906_raw_html.txt,4,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,14,0
3,50,0,0,0,6,0,0,0,0,0,0,0,0,17,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,39,1,12,0,0,1000930_raw_html.txt,0,0,2,0,0,33,0,2,7,4,2,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,64,20,0,0,0,1,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,6,0,5,0,0,0,0,0,0,0,0,0,0,3,0
1,32,0,0,0,7,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,1000954_raw_html.txt,0,0,0,0,0,29,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0,0,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6,68,0,0,4,16,0,0,0,0,0,0,0,3,63,2,0,63,0,1,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,1000990_raw_html.txt,0,0,0,0,0,0,0,6,15,0,0,9,0,0,0,4,16,0,0,0,0,0,1,0,0,1,0,167,0,0,0,0,0,0,0,0,0,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,1
1,65,0,1,14,13,0,0,0,0,0,1,0,0,220,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,4,1,33,0,0,1001182_raw_html.txt,30,0,0,0,0,36,0,11,252,0,0,1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,358,0,0,0,0,8,0,16,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,31,0,0,0,51,0,0,0,0,32,0
